,index,SUBJECT,Subject,Measure,Frequency,Unit,Reference Period,Level,Name
208,160611,LREMTTTT,Labour Force Survey - quarterly rates > Employment rate > Aged 15 and over > All persons,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Employment rate Aged 15 and over All persons
209,161432,LREMTTTT,Labour Force Survey - quarterly rates > Employment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Employment rate Aged 15 and over All persons
210,162253,LRHU24FE,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24 > Females,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Harmonised unemployment - monthly rates Aged 15-24 Females
211,163074,LRHU24FE,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24 > Females,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Harmonised unemployment - monthly rates Aged 15-24 Females
212,163895,LRHU24MA,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24 > Males,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Harmonised unemployment - monthly rates Aged 15-24 Males
213,164716,LRHU24MA,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24 > Males,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Harmonised unemployment - monthly rates Aged 15-24 Males
214,165537,LRHU24TT,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24 > All persons,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Harmonised unemployment - monthly rates Aged 15-24 All persons
215,166358,LRHU24TT,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 15-24 > All persons,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Harmonised unemployment - monthly rates Aged 15-24 All persons
216,167179,LRHUADFE,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 25 and over > Females,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Harmonised unemployment - monthly rates Aged 25 and over Females
217,168000,LRHUADFE,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 25 and over > Females,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Harmonised unemployment - monthly rates Aged 25 and over Females
218,168821,LRHUADMA,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 25 and over > Males,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Harmonised unemployment - monthly rates Aged 25 and over Males
219,169642,LRHUADMA,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 25 and over > Males,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Harmonised unemployment - monthly rates Aged 25 and over Males
220,170463,LRHUADTT,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 25 and over > All persons,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Harmonised unemployment - monthly rates Aged 25 and over All persons
221,171284,LRHUADTT,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Aged 25 and over > All persons,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Harmonised unemployment - monthly rates Aged 25 and over All persons
222,172105,LRHUTTFE,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Total > Females,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Harmonised unemployment - monthly rates Total Females
223,172926,LRHUTTFE,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Total > Females,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Harmonised unemployment - monthly rates Total Females
224,173747,LRHUTTMA,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Total > Males,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Harmonised unemployment - monthly rates Total Males
225,174568,LRHUTTMA,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Total > Males,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Harmonised unemployment - monthly rates Total Males
226,175389,LRHUTTTT,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Total > All persons,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Harmonised unemployment - monthly rates Total All persons
227,176210,LRHUTTTT,Labour Force Survey - quarterly rates > Harmonised unemployment - monthly rates > Total > All persons,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Harmonised unemployment - monthly rates Total All persons
228,177031,LRIN24FE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-24 > Females,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15-24 Females
229,177588,LRIN24FE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-24 > Females,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15-24 Females
230,178145,LRIN24MA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-24 > Males,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15-24 Males
231,178702,LRIN24MA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-24 > Males,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15-24 Males
232,179259,LRIN24TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-24 > All persons,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15-24 All persons
233,179816,LRIN24TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-24 > All persons,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15-24 All persons
234,180373,LRIN25FE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 25-54 > Females,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 25-54 Females
235,180930,LRIN25FE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 25-54 > Females,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 25-54 Females
236,181487,LRIN25MA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 25-54 > Males,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 25-54 Males
237,182044,LRIN25MA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 25-54 > Males,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 25-54 Males
238,182601,LRIN25TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 25-54 > All persons,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 25-54 All persons
239,183158,LRIN25TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 25-54 > All persons,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 25-54 All persons
240,183715,LRIN55FE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 55-64 > Females,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 55-64 Females
241,184272,LRIN55FE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 55-64 > Females,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 55-64 Females
242,184829,LRIN55MA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 55-64 > Males,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 55-64 Males
243,185386,LRIN55MA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 55-64 > Males,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 55-64 Males
244,185943,LRIN55TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 55-64 > All persons,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 55-64 All persons
245,186500,LRIN55TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 55-64 > All persons,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 55-64 All persons
246,187057,LRIN64FE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-64 > Females,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15-64 Females
247,187614,LRIN64FE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-64 > Females,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15-64 Females
248,188171,LRIN64MA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-64 > Males,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15-64 Males
249,188728,LRIN64MA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-64 > Males,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15-64 Males
250,189285,LRIN64TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-64 > All persons,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15-64 All persons
251,189842,LRIN64TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-64 > All persons,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15-64 All persons
252,190399,LRIN74FE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-74 > Females,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15-74 Females
253,190908,LRIN74FE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-74 > Females,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15-74 Females
254,191417,LRIN74MA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-74 > Males,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15-74 Males
255,191926,LRIN74MA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-74 > Males,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15-74 Males
256,192435,LRIN74TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-74 > All persons,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15-74 All persons
257,192944,LRIN74TT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15-74 > All persons,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15-74 All persons
258,193453,LRINTTFE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15 and over > Females,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15 and over Females
259,194010,LRINTTFE,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15 and over > Females,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15 and over Females
260,194591,LRINTTMA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15 and over > Males,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15 and over Males
261,195148,LRINTTMA,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15 and over > Males,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15 and over Males
262,195729,LRINTTTT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15 and over > All persons,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15 and over All persons
263,196286,LRINTTTT,Labour Force Survey - quarterly rates > Inactivity rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Inactivity rate Aged 15 and over All persons
264,196867,LRUN24FE,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-24 > Females,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15-24 Females
265,197688,LRUN24FE,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-24 > Females,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15-24 Females
266,198509,LRUN24MA,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-24 > Males,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15-24 Males
267,199330,LRUN24MA,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-24 > Males,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15-24 Males
268,200151,LRUN24TT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-24 > All persons,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15-24 All persons
269,200972,LRUN24TT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-24 > All persons,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15-24 All persons
270,201793,LRUN25FE,Labour Force Survey - quarterly rates > Unemployment rate > Aged 25-54 > Females,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 25-54 Females
271,202614,LRUN25FE,Labour Force Survey - quarterly rates > Unemployment rate > Aged 25-54 > Females,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 25-54 Females
272,203435,LRUN25MA,Labour Force Survey - quarterly rates > Unemployment rate > Aged 25-54 > Males,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 25-54 Males
273,204256,LRUN25MA,Labour Force Survey - quarterly rates > Unemployment rate > Aged 25-54 > Males,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 25-54 Males
274,205077,LRUN25TT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 25-54 > All persons,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 25-54 All persons
275,205898,LRUN25TT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 25-54 > All persons,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 25-54 All persons
276,206719,LRUN55FE,Labour Force Survey - quarterly rates > Unemployment rate > Aged 55-64 > Females,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 55-64 Females
277,207540,LRUN55FE,Labour Force Survey - quarterly rates > Unemployment rate > Aged 55-64 > Females,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 55-64 Females
278,208181,LRUN55MA,Labour Force Survey - quarterly rates > Unemployment rate > Aged 55-64 > Males,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 55-64 Males
279,209002,LRUN55MA,Labour Force Survey - quarterly rates > Unemployment rate > Aged 55-64 > Males,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 55-64 Males
280,209643,LRUN55TT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 55-64 > All persons,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 55-64 All persons
281,210464,LRUN55TT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 55-64 > All persons,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 55-64 All persons
282,211105,LRUN64FE,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-64 > Females,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15-64 Females
283,211926,LRUN64FE,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-64 > Females,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15-64 Females
284,212567,LRUN64MA,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-64 > Males,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15-64 Males
285,213388,LRUN64MA,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-64 > Males,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15-64 Males
286,214029,LRUN64TT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-64 > All persons,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15-64 All persons
287,214850,LRUN64TT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-64 > All persons,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15-64 All persons
288,215491,LRUN74FE,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-74 > Females,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15-74 Females
289,216000,LRUN74FE,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-74 > Females,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15-74 Females
290,216509,LRUN74MA,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-74 > Males,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15-74 Males
291,217018,LRUN74MA,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-74 > Males,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15-74 Males
292,217527,LRUN74TT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-74 > All persons,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15-74 All persons
293,218036,LRUN74TT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15-74 > All persons,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15-74 All persons
294,218545,LRUNTTFE,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > Females,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15 and over Females
295,219366,LRUNTTFE,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > Females,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15 and over Females
296,220187,LRUNTTMA,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > Males,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15 and over Males
297,221008,LRUNTTMA,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > Males,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15 and over Males
298,221829,LRUNTTTT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15 and over All persons
299,222650,LRUNTTTT,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Monthly,Percentage,,Labour Force Survey - quarterly rates,Labour Force Survey - quarterly rates Unemployment rate Aged 15 and over All persons
300,223471,LFAC24FE,Labour Force Survey - quarterly levels > Active population > Aged 15-24 > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 15-24 Females
301,224292,LFAC24FE,Labour Force Survey - quarterly levels > Active population > Aged 15-24 > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 15-24 Females
302,225113,LFAC24MA,Labour Force Survey - quarterly levels > Active population > Aged 15-24 > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 15-24 Males
303,225934,LFAC24MA,Labour Force Survey - quarterly levels > Active population > Aged 15-24 > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 15-24 Males
304,226755,LFAC24TT,Labour Force Survey - quarterly levels > Active population > Aged 15-24 > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 15-24 All persons
305,227576,LFAC24TT,Labour Force Survey - quarterly levels > Active population > Aged 15-24 > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 15-24 All persons
306,228397,LFAC25FE,Labour Force Survey - quarterly levels > Active population > Aged 25-54 > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 25-54 Females
307,229218,LFAC25FE,Labour Force Survey - quarterly levels > Active population > Aged 25-54 > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 25-54 Females
308,230039,LFAC25MA,Labour Force Survey - quarterly levels > Active population > Aged 25-54 > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 25-54 Males
309,230860,LFAC25MA,Labour Force Survey - quarterly levels > Active population > Aged 25-54 > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 25-54 Males
310,231681,LFAC25TT,Labour Force Survey - quarterly levels > Active population > Aged 25-54 > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 25-54 All persons
311,232502,LFAC25TT,Labour Force Survey - quarterly levels > Active population > Aged 25-54 > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 25-54 All persons
312,233323,LFAC55FE,Labour Force Survey - quarterly levels > Active population > Aged 55-64 > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 55-64 Females
313,234144,LFAC55FE,Labour Force Survey - quarterly levels > Active population > Aged 55-64 > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 55-64 Females
314,234785,LFAC55MA,Labour Force Survey - quarterly levels > Active population > Aged 55-64 > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 55-64 Males
315,235606,LFAC55MA,Labour Force Survey - quarterly levels > Active population > Aged 55-64 > Males,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 55-64 Males
316,236247,LFAC55TT,Labour Force Survey - quarterly levels > Active population > Aged 55-64 > All persons,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 55-64 All persons
317,237068,LFAC55TT,Labour Force Survey - quarterly levels > Active population > Aged 55-64 > All persons,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 55-64 All persons
318,237709,LFAC64FE,Labour Force Survey - quarterly levels > Active population > Aged 15-64 > Females,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 15-64 Females
319,238530,LFAC64FE,Labour Force Survey - quarterly levels > Active population > Aged 15-64 > Females,"Level, rate or national currency, s.a.",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 15-64 Females
320,239171,LFAC64MA,Labour Force Survey - quarterly levels > Active population > Aged 15-64 > Males,"Level, rate or national currency",Monthly,Persons,,Labour Force Survey - quarterly levels,Labour Force Survey - quarterly levels Active population Aged 15-64 Males
